dateE,latitude,longitude,depth,mag,gap,id,place
17-06-2023,33.2377,75.9002,10,4.3,153,us7000k986,"14 km SE of Kishtwār, India"
16-06-2023,24.7339,92.0224,10,5,60,us7000k8uw,India-Bangladesh border region
13-06-2023,33.0446,75.948,14.274,4.6,46,us7000k89b,"22 km ENE of Bhadarwāh, India"
13-06-2023,33.1191,75.9074,10,5.2,23,us7000k850,"23 km NE of Bhadarwāh, India"
12-06-2023,26.1093,95.2775,77.469,4.3,134,us7000k82d,"48 km ESE of Tuensang, India"
05-06-2023,12.8765,95.4751,10,4.6,69,us7000k6bt,"Andaman Islands, India region"
29-05-2023,26.7587,92.4485,10,4.9,80,us7000k4q0,"6 km NNW of Dhekiajuli, India"
29-05-2023,13.407,94.1485,10,4.6,70,us7000k4px,"244 km NE of Bamboo Flat, India"
27-05-2023,27.0688,92.6797,10,4.5,116,us7000k4iq,"25 km N of Rangāpāra, India"
22-05-2023,26.8674,97.023,10,5,35,us6000kdsy,"76 km NNE of Sarupathar, India"
21-05-2023,24.8062,94.7301,83.027,4.1,139,us6000kdmh,Myanmar-India border region
14-05-2023,9.7587,93.5283,9.846,4,183,us6000kcwe,"227 km SSE of Port Blair, India"
11-05-2023,21.6539,93.1376,51.123,4.5,54,us6000kb7z,"94 km S of Saiha, India"
09-05-2023,10.972,92.0333,10,5.1,64,us6000kalp,"109 km SW of Port Blair, India"
08-05-2023,33.9253,75.0264,10,3.8,141,us6000kace,"1 km ENE of Awantipur, India"
04-05-2023,30.5173,79.0377,27.66,4.2,166,us6000kau8,"Uttaranchal, India"
03-05-2023,27.3244,97.0318,10,4.6,60,us6000k9cr,"95 km SSE of Hayuliang, India"
24-04-2023,9.3625,93.8685,10,5,36,us6000k6r8,"Nicobar Islands, India region"
13-04-2023,8.9297,93.8956,10,4.9,66,us6000k3z1,"Nicobar Islands, India region"
12-04-2023,26.0018,87.3828,10,4,97,us6000k3n5,Nepal-India border region
10-04-2023,9.0663,93.9297,13.852,4.8,72,us6000k3b7,"Nicobar Islands, India region"
10-04-2023,8.897,93.7742,9.626,4.3,191,us6000k53b,"Nicobar Islands, India region"
10-04-2023,8.9611,93.7674,10.028,4.5,107,us6000k39m,"Nicobar Islands, India region"
10-04-2023,9.1564,93.8198,10,4.6,104,us6000k52k,"Nicobar Islands, India region"
10-04-2023,8.9215,93.5922,10,4.2,63,us6000k52j,"Nicobar Islands, India region"
09-04-2023,8.9923,93.8476,10,4.1,116,us6000k4h6,"Nicobar Islands, India region"
